max,mean,min
56.451439599,3.2727412946894896,0.675960991
104.022153143,7.4219887636960005,0.586374741
202.262773513,16.22489587355372,0.673965416
240.807290345,25.313832103715676,0.567187988
302.016762448,28.123803238201972,0.598632826
283.80155124,26.14584744221345,0.745078418
311.919326118,14.348365015645955,0.588375917
140.786142763,11.023170165877481,0.599600946
186.276164293,21.44421915411975,0.602520303
177.365253269,12.794301437120588,0.467851304
254.282746749,15.593479371731487,0.548230121
77.044702247,9.563820319618175,0.730353622
129.056461721,4.183348018470026,0.61897762
172.054052895,3.3538920847716978,0.607841804
11.622345578,2.806772774430521,0.519190592
61.470663667,3.7417183161693655,0.48205529
10.116674335,2.7292839761081416,0.739780679
9.399393139,2.825335264815502,0.523733112
